Category,Algorithm,MAPE,R2,RMSE,MAE,Features_Used
Imports of Scrap,RandomForest,25.192606381782234,0.9480285415326367,9.11994517527381,7.17076923076923,12
Imports of Direct Reduced Iron,XGBoost,inf,0.999986129944124,0.002322479411845979,0.0010522490216923568,12
Imports of Direct Reduced Iron,RandomForest,inf,0.9097857142857143,0.18730545462781734,0.15000000000000002,12
Imports of Ingots and Semis,XGBoost,12.80850962099061,0.9998221797064482,0.8610856731289745,0.6369671821594238,12
Imports of Ingots and Semis,RandomForest,254.0750603017715,0.7996638421149725,28.90249749655662,20.171538461538468,12
Imports of Flat Products,XGBoost,0.20150848599101945,0.9999722866188588,1.1357501240875665,0.9266897348257211,12
Imports of Flat Products,RandomForest,7.590171373635444,0.957819200868022,44.30935593164183,37.548461538461545,12
Imports of Long Products,XGBoost,0.3619274823276184,0.9998277759928407,3.0856688517857744,2.473149226262019,12
Imports of Long Products,RandomForest,11.125556172933122,0.885126157938349,79.69169148855916,64.35538461538462,12
Imports of Semi-finished and Finished Steel Products,XGBoost,0.3497485109485054,0.9998243009468674,9.04873685626564,6.63555908203125,12
Imports of Semi-finished and Finished Steel Products,RandomForest,8.63744964687889,0.9300382432165517,180.56501215735184,167.97846153846154,12
Imports of Tubular Products,XGBoost,0.6363188273652689,0.9996645771823516,6.577677094757924,4.3327167217548075,12
Imports of Tubular Products,RandomForest,12.286024608884775,0.9326663585412484,93.19493276089476,76.11076923076925,12
Indirect Exports of Steel,XGBoost,0.11179897984230008,0.9999785172758355,0.8701667508105545,0.6912807888454862,12
Indirect Exports of Steel,RandomForest,4.490991029994349,0.9526534409190449,40.85093674976539,30.414444444444428,12
Indirect Imports of Steel,XGBoost,0.12994964772056034,0.9991287421068057,9.179753254684249,7.406087239583333,12
Indirect Imports of Steel,RandomForest,2.1261373747540224,0.6845222586900527,174.67952665762914,119.40333333333345,12
Indirect Net Exports of Steel,XGBoost,0.10740217987172743,0.999335771389085,6.295536766750583,5.284505208333333,12
Indirect Net Exports of Steel,RandomForest,2.1133901557333754,0.5766108610480056,158.94388786263184,102.43111111111112,12
