Year,Production of Iron Ore_Ensemble,Production of Pig Iron_Ensemble,Total Production of Crude Steel_Ensemble,Production of Crude Steel in Electric Furnaces_Ensemble,Production of Crude Steel in Oxygen-blown Converters_Ensemble,Production of Ingots_Ensemble,Production of Continuously-cast Steel_Ensemble,Production of Hot Rolled Products_Ensemble,Production of Hot Rolled Flat Products_Ensemble,Production of Hot Rolled Long Products_Ensemble,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_Ensemble",Production of Non-metallic Coated Sheet and Strip_Ensemble,Production of Other Metal Coated Sheet and Strip_Ensemble,Production of Wire Rod_Ensemble,Production of Railway Track Material_Ensemble,Total Production of Tubular Products_Ensemble,True Steel Use (finished steel equivalent)_Ensemble,Apparent Steel Use (crude steel equivalent)_Ensemble,Apparent Steel Use (finished steel products)_Ensemble,True Steel Use per Capita (kg finished steel equivalent)_Ensemble,Apparent Steel Use per Capita (kg crude steel)_Ensemble,Apparent Steel Use per Capita (kg finished steel products)_Ensemble,Exports of Iron Ore_Ensemble,Exports of Pig Iron_Ensemble,Exports of Scrap_Ensemble,Exports of Ingots and Semis_Ensemble,Exports of Flat Products_Ensemble,Exports of Long Products_Ensemble,Exports of Semi-finished and Finished Steel Products_Ensemble,Exports of Tubular Products_Ensemble,Imports of Iron Ore_Ensemble,Imports of Pig Iron_Ensemble,Imports of Scrap_Ensemble,Imports of Direct Reduced Iron_Ensemble,Imports of Ingots and Semis_Ensemble,Imports of Flat Products_Ensemble,Imports of Long Products_Ensemble,Imports of Semi-finished and Finished Steel Products_Ensemble,Imports of Tubular Products_Ensemble,Indirect Exports of Steel_Ensemble,Indirect Imports of Steel_Ensemble,Indirect Net Exports of Steel_Ensemble,Other_Long_Products_Derived,Steel_Production_Efficiency_Ratio,Total_Steel_Consumption_Ensemble
2024,948527.2849999999,3498.047104492188,5550.872646484375,1461.2220312499999,4065.4178515625,26.221718635559082,5544.640302734375,4975.17154296875,3254.2369482421873,1806.5558862304688,1653.7895618445634,541.4710096189954,1058.9763767786285,1586.996770461373,219.5591157690958,155.35616455078124,10517.296640625,6985.72640625,6308.972646484375,418.50755920410154,265.31388610839844,239.72503814697265,893896.8075,2.781723424050142e-06,1970.3743359374998,111.29394012451172,821.5573083496095,95.73262939453124,1045.8396606445312,64.0226921081543,995.8771508789063,15.840903701782226,62.97617958068847,0.19522411173267756,80.63521713256836,479.8284875488281,711.6369165039063,1898.9037426757814,584.0757629394532,462.18578552246095,5443.215419921875,0.0,0.0,0.00585209591148912,1917402.3610683004
2025,939497.275,3501.4421044921874,5515.619462890625,1456.1720312500001,4048.5478515625,26.731718635559083,5506.042275390625,4968.25154296875,3232.261948242188,1771.6609912109375,1646.1328338721285,535.083781126947,1051.0453332431123,1556.6609808422245,215.00001036871302,155.70616455078124,10532.756640625,6968.551406250001,6289.962646484375,419.86755920410155,267.66938610839844,241.41503814697268,887051.0025,2.781723424050142e-06,1978.0243359375,111.06394012451172,816.7423083496094,96.91762939453125,1056.0077270507813,63.827692108154295,1110.6436889648437,15.765903701782227,60.671179580688474,0.19022411173267756,83.99521713256836,486.28260498046876,709.2219165039062,1894.0187426757811,630.8557629394531,461.9807855224609,5444.775419921874,0.0,0.0,0.005870820075439415,1901475.8442892488
2026,942236.23,3500.4171044921877,5513.859462890625,1456.21203125,4048.7928515625,26.36671863555908,5504.282275390625,4969.00654296875,3239.3269482421874,1770.9759912109375,1649.7309112116307,536.2533543156909,1053.3426827148653,1556.149447166558,214.82654404437946,155.35616455078124,10532.756640625,6985.94640625,6305.692646484375,419.86755920410155,267.76088610839844,241.51003814697265,888695.2625,2.781723424050142e-06,1978.4443359375,111.26894012451172,817.7823083496094,96.11262939453124,1055.9927270507812,63.8826921081543,1116.0136889648438,15.820903701782226,60.38617958068848,0.18522411173267755,80.63521713256836,486.12260498046874,711.9169165039062,1898.9037426757814,630.6357629394531,461.9807855224609,5444.775419921874,0.0,2.842170943040401e-14,0.005851886488052603,1905910.7857892474
2027,942236.23,3500.4171044921877,5513.859462890625,1456.21203125,4048.7928515625,26.36671863555908,5504.282275390625,4969.00654296875,3239.3269482421874,1770.9759912109375,1649.7309112116307,536.2533543156909,1053.3426827148653,1556.149447166558,214.82654404437946,155.35616455078124,10532.756640625,6985.94640625,6305.692646484375,419.86755920410155,267.76088610839844,241.51003814697265,888695.2625,2.781723424050142e-06,1978.4443359375,111.26894012451172,817.7823083496094,96.11262939453124,1055.9927270507812,63.8826921081543,1116.0136889648438,15.820903701782226,60.38617958068848,0.18522411173267755,80.63521713256836,486.12260498046874,711.9169165039062,1898.9037426757814,630.6357629394531,461.9807855224609,5444.775419921874,0.0,2.842170943040401e-14,0.005851886488052603,1905910.7857892474
2028,941848.14,3502.5371044921876,5519.854462890626,1459.5065966796874,4052.5728515625,26.36671863555908,5518.040947265625,4963.41154296875,3224.1819482421874,1760.4509912109374,1642.7385100098948,533.3668344987544,1048.076603733538,1547.3598559301108,213.09113528082662,155.35616455078124,10532.756640625,7019.08640625,6335.587646484375,419.86755920410155,269.2249846191406,243.0144509887695,887952.6525000001,2.781723424050142e-06,1956.3864794921874,113.38088500976562,818.5923083496093,100.9105209350586,1065.0269067382812,62.840469207763675,1115.7236889648439,15.565903701782226,61.741179580688474,0.19022411173267756,80.78521713256836,401.97490600585934,483.85789306640623,1838.6487426757812,501.9229748535156,461.9807855224609,5444.775419921874,0.0,0.0,0.005860662912059927,1904311.5469641755
2029,941231.4650000001,3505.0671044921874,5527.599462890625,1458.3515966796876,4055.5678515625,26.36671863555908,5525.6609472656255,4959.70654296875,3216.5719482421873,1762.1959912109373,1639.6091907785412,531.8556539783535,1045.1071034852923,1550.9638718726687,211.23211933826863,155.35616455078124,10532.096640625,7012.55640625,6329.687646484375,419.99255920410155,269.2299846191406,243.0144509887695,887805.8075,2.781723424050142e-06,1943.6064794921876,113.61588500976563,805.1723083496094,101.3455209350586,1060.8669067382812,62.81546920776367,1114.7536889648436,15.460903701782225,61.87117958068848,0.19022411173267756,80.44021713256836,402.7949060058594,482.3028930664062,1830.9387426757812,499.80797485351565,461.24578552246095,5443.845419921875,0.0,0.0,0.005872731276456662,1903496.1369641754
2030,939824.135,3504.422104492188,5528.109462890625,1458.4615966796875,4055.5628515625003,26.36671863555908,5526.170947265625,4964.721542968749,3213.9119482421875,1767.6609912109375,1640.613286500127,530.2070525724605,1043.0916091696,1556.199346406884,211.4616448040536,155.35616455078124,10531.436640625001,7009.46140625,6326.8976464843745,420.01755920410153,269.2549846191406,243.02445098876953,887376.9525,2.781723424050142e-06,1945.0564794921875,110.51588500976563,804.0523083496093,101.86552093505858,1056.9219067382812,62.62546920776367,1106.8686889648438,15.490903701782226,61.40117958068848,0.18522411173267755,80.14521713256836,405.8599060058594,493.57289306640627,1831.9937426757813,499.0979748535156,461.24578552246095,5443.380419921875,0.0,0.0,0.005882067992317121,1901663.7769641753
2031,933920.4099999999,3457.2740576171873,5503.3349609375,1444.2315966796875,4045.6886474609373,26.911718635559083,5503.003291015625,4877.44580078125,3181.4801171874997,1762.3709912109375,1620.4852672778325,526.2907614365388,1034.704088473128,1556.3422622861444,206.02872892479303,156.00116455078125,10582.05958984375,7094.85953125,6403.928251953124,422.7959521484375,273.72807495117183,247.19235778808593,885241.5175000001,2.781723424050142e-06,1989.1366943359376,112.78751800537108,797.5673083496094,101.1655209350586,1047.8669067382812,62.50046920776367,1103.1686889648438,15.645947494506835,61.236224517822265,0.17522411173267755,81.7792724609375,437.76490600585936,518.7578930664063,1947.3409301757813,505.42797485351565,473.49078552246095,5439.57423828125,0.0,5.684341886080802e-14,0.005892723728928358,1893783.4712182183
2032,925988.48,3491.5640576171872,5488.0199609374995,1440.9515966796876,4047.8936474609372,27.386718635559085,5489.268291015625,4897.09580078125,3193.5101171875003,1769.4609912109377,1635.875730146007,524.3072280442499,1033.3271589972437,1551.4420591817495,218.01893202918814,157.74616455078126,10629.80958984375,7097.77453125,6406.548251953125,425.83995214843753,275.46957495117186,248.72585778808593,877465.0875,0.01500278172342405,1987.9416943359374,112.78751800537108,797.4573083496093,101.2105209350586,1048.4819067382812,62.50046920776367,1195.2636889648438,15.565947494506837,59.001224517822266,0.19522411173267756,83.1042724609375,439.6149060058594,517.9828930664062,1951.6459301757814,543.5129748535156,481.81578552246094,5459.939238281249,0.0,0.0,0.005926661162067048,1878361.640218219
2033,926942.1599999999,3528.1890576171872,5512.1049609375,1444.2315966796875,4071.4286474609376,27.416718635559082,5508.918291015625,4914.3858007812505,3210.7401171875,1771.0409912109376,1648.2892339934988,526.2737926221404,1036.1770905718606,1553.140968890891,217.90002232004662,157.74616455078126,10612.09958984375,7094.489531249999,6403.583251953125,424.3699521484375,274.5555749511718,247.89685778808592,878894.1775,0.035002781723424053,1985.3016943359376,112.84251800537109,801.6873083496093,101.1555209350586,1052.4869067382813,62.50046920776367,1150.058688964844,15.555947494506835,60.141224517822266,0.19522411173267756,83.1042724609375,439.3649060058594,517.9828930664062,1943.7909301757813,515.7929748535156,481.81578552246094,5455.06923828125,0.0,5.684341886080802e-14,0.005946546827622449,1880800.1972182188
