Year,Total Production of Crude Steel_XGBoost,Total Production of Crude Steel_RandomForest,Total Production of Crude Steel_LinearRegression,Production of Hot Rolled Flat Products_XGBoost,Production of Hot Rolled Flat Products_RandomForest,Production of Hot Rolled Flat Products_LinearRegression,Production of Hot Rolled Long Products_XGBoost,Production of Hot Rolled Long Products_RandomForest,Production of Hot Rolled Long Products_LinearRegression,Apparent Steel Use (crude steel equivalent)_XGBoost,Apparent Steel Use (crude steel equivalent)_RandomForest,Apparent Steel Use (crude steel equivalent)_LinearRegression,Apparent Steel Use (finished steel products)_XGBoost,Apparent Steel Use (finished steel products)_RandomForest,Apparent Steel Use (finished steel products)_LinearRegression,True Steel Use (finished steel equivalent)_XGBoost,True Steel Use (finished steel equivalent)_RandomForest,True Steel Use (finished steel equivalent)_LinearRegression,Production of Railway Track Material_XGBoost,Production of Railway Track Material_RandomForest,Production of Railway Track Material_LinearRegression,Total Production of Tubular Products_XGBoost,Total Production of Tubular Products_RandomForest,Total Production of Tubular Products_LinearRegression,Production of Wire Rod_XGBoost,Production of Wire Rod_RandomForest,Production of Wire Rod_LinearRegression,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_XGBoost","Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_RandomForest","Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_LinearRegression",Production of Non-metallic Coated Sheet and Strip_XGBoost,Production of Non-metallic Coated Sheet and Strip_RandomForest,Production of Non-metallic Coated Sheet and Strip_LinearRegression,Production of Other Metal Coated Sheet and Strip_XGBoost,Production of Other Metal Coated Sheet and Strip_RandomForest,Production of Other Metal Coated Sheet and Strip_LinearRegression
2034,5456.9478,5442.27,4733.19970423379,3233.4282,3097.47,4375.296431311217,1834.2255,1837.8,571.453609310498,7116.9805,6728.89,10139.940164179396,6431.547,6097.26,9062.750133878028,10669.453,10592.95,0.0,81.14244,89.88,0.0,155.07686,175.39,0.0,582.0343,666.14,0.0,2623.7417,2628.8,3136.116432653296,884.95483,760.99,867.4833154292155,1701.2795,1596.8,2892.844318867472
2035,5456.9478,5500.42,4746.765491829632,3233.4282,3092.67,4369.614656882026,1834.2255,1842.83,570.1775594248029,7116.9805,6797.9,10363.420689481369,6431.547,6073.74,9279.615889412758,10669.453,10401.36,0.0,81.14244,89.88,0.0,155.07686,178.61,0.0,582.0343,662.89,0.0,2623.7417,2630.12,3032.2447979660137,884.95483,723.81,871.9506223441476,1701.2795,1577.09,2924.10709370306
2036,5456.9478,5804.4,4291.910584989615,3233.4282,3103.11,3971.244319671765,1834.2255,1925.29,328.22853200655663,7116.9805,6845.68,11123.808943237178,6431.547,6165.04,10008.289178650797,10669.453,10400.17,0.0,81.14244,91.26,0.0,155.07686,254.95,0.0,582.0343,686.76,0.0,2623.7417,2639.67,2485.0404835008812,884.95483,725.22,842.1467883877249,1701.2795,1384.94,2942.7403229610572
2037,5456.9478,5804.4,4029.464927331661,3233.4282,3101.29,3952.049224093018,1834.2255,1921.35,71.32599817131995,7116.9805,6845.68,11563.440911223035,6431.547,6165.04,10394.037980401365,10669.453,10406.71,0.0,81.14244,91.26,0.0,155.07686,254.95,0.0,582.0343,686.76,0.0,2623.7417,2638.26,2445.8249411074758,884.95483,725.22,838.4505043438112,1701.2795,1384.94,3050.4716710239736
2038,5456.9478,5797.62,4014.705922787427,3233.4282,3101.29,3901.547902290178,1834.2255,1915.85,56.94235031251446,7116.9805,6846.48,11809.784974017472,6431.547,6166.04,10635.05284449784,10669.453,10391.71,0.0,81.14244,91.26,0.0,155.07686,251.49,0.0,582.0343,686.76,0.0,2623.7417,2638.26,2297.9995970625023,884.95483,725.22,841.4025993153864,1701.2795,1384.64,3073.1255897462906
2039,5456.9478,5797.62,3689.1791318986798,3233.4282,3101.29,3722.77937821205,1834.2255,1915.85,0.0,7116.9805,6846.48,12401.412774897908,6431.547,6166.04,11182.515990647255,10669.453,10391.71,0.0,81.14244,91.26,0.0,155.07686,251.49,0.0,582.0343,686.76,0.0,2623.7417,2638.26,2039.3345072872544,884.95483,725.22,826.7838395634371,1701.2795,1384.64,3141.1053005277936
2040,5456.9478,5797.62,3466.39512775655,3233.4282,3101.29,3752.9206514795515,1834.2255,1915.85,0.0,7116.9805,6846.48,12812.574430274137,6431.547,6166.04,11536.48572555519,10669.453,10391.71,0.0,81.14244,91.26,0.0,155.07686,251.49,0.0,582.0343,686.76,0.0,2623.7417,2638.26,2067.1470883054935,884.95483,725.22,826.9483221310838,1701.2795,1384.64,3259.09432570044
2041,5456.9478,5797.62,3211.6020942939504,3233.4282,3101.29,3727.8764335734595,1834.2255,1915.85,0.0,7116.9805,6846.48,13255.702348400373,6431.547,6166.04,11925.563696594501,10669.453,10391.71,0.0,81.14244,91.26,0.0,155.07686,251.49,0.0,582.0343,686.76,0.0,2623.7417,2638.26,2028.836565812151,884.95483,725.22,824.44989117755,1701.2795,1384.64,3365.1063243770695
2042,5456.9478,5797.62,3292.635141556093,3233.4282,3101.29,3832.3602980693177,1834.2255,1915.85,0.0,7116.9805,6846.48,13369.616263111006,6431.547,6166.04,12026.730029502913,10669.453,10391.71,0.0,81.14244,91.26,0.0,155.07686,251.49,0.0,582.0343,686.76,0.0,2623.7417,2638.26,2084.957888433659,884.95483,725.22,839.4093782344426,1701.2795,1384.64,3421.9839132003035
2043,5456.9478,5797.62,3084.525762595411,3233.4282,3101.29,3895.642500993912,1834.2255,1915.85,0.0,7116.9805,6846.48,13737.743166069762,6431.547,6166.04,12335.48575327621,10669.453,10391.71,0.0,81.14244,91.26,0.0,155.07686,251.49,0.0,582.0343,686.76,0.0,2623.7417,2638.26,2167.0051200342205,884.95483,725.22,843.3077793409666,1701.2795,1384.64,3548.735457779192
2044,5456.9478,5767.03,2928.4299741818104,3233.4282,3100.18,3992.144669429792,1834.2255,1910.98,0.0,7116.9805,6847.98,14127.970426617481,6431.547,6167.39,12667.503033782763,10669.453,10458.02,0.0,81.14244,91.22,0.0,155.07686,251.49,0.0,582.0343,686.76,0.0,2623.7417,2637.4,2256.0173529276035,884.95483,718.38,846.7652681568434,1701.2795,1382.75,3676.600946036604
2045,5456.9478,5767.03,2789.3600941945915,3233.4282,3100.18,4155.298778272838,1834.2255,1910.98,0.0,7116.9805,6847.98,14447.672899798112,6431.547,6167.39,12922.794349257398,10669.453,10458.02,0.0,81.14244,91.22,0.0,155.07686,251.49,0.0,582.0343,686.76,0.0,2623.7417,2637.4,2452.073062229112,884.95483,718.38,855.4557892333014,1701.2795,1382.75,3823.4167314855804
2046,5456.9478,5767.03,2915.8292913443,3233.4282,3100.18,4353.503397218396,1834.2255,1910.98,0.0,7116.9805,6847.98,14482.387763485312,6431.547,6167.39,12938.882436770247,10669.453,10458.02,0.0,81.14244,91.22,0.0,155.07686,251.49,0.0,582.0343,686.76,0.0,2623.7417,2637.4,2635.631063742203,884.95483,718.38,876.8025215098642,1701.2795,1382.75,3902.7189328411623
2047,5456.9478,5767.03,2790.505376961868,3233.4282,3100.18,4564.479240419212,1834.2255,1910.98,0.0,7116.9805,6847.98,14740.288965552027,6431.547,6167.39,13129.934236281872,10669.453,10458.02,0.0,81.14244,91.22,0.0,155.07686,251.49,0.0,582.0343,686.76,0.0,2623.7417,2637.4,2901.818940288911,884.95483,718.38,889.6751466595488,1701.2795,1382.75,4062.2257655073845
2048,5456.9478,5767.03,2899.6838192877767,3233.4282,3100.18,4744.724025508076,1834.2255,1910.98,0.0,7116.9805,6847.98,14790.513772523118,6431.547,6167.39,13161.041073820204,10669.453,10458.02,0.0,81.14244,91.22,0.0,155.07686,251.49,0.0,582.0343,686.76,0.0,2623.7417,2637.4,3068.5503696248998,884.95483,718.38,909.5318366410793,1701.2795,1382.75,4138.858042193162
2049,5456.9478,5767.03,2682.619336987671,3233.4282,3100.18,4783.780282987034,1834.2255,1910.98,0.0,7116.9805,6847.98,15179.320669327717,6431.547,6167.39,13493.284984101483,10669.453,10458.02,0.0,81.14244,91.22,0.0,155.07686,251.49,0.0,582.0343,686.76,0.0,2623.7417,2637.4,3109.678092235361,884.95483,718.38,911.4794088569179,1701.2795,1382.75,4258.7772411222395
2050,5456.9478,5767.03,2424.7175772176124,3233.4282,3100.18,4750.829806399233,1834.2255,1910.98,0.0,7116.9805,6847.98,15629.062211862882,6431.547,6167.39,13889.513716332847,10669.453,10458.02,0.0,81.14244,91.22,0.0,155.07686,251.49,0.0,582.0343,686.76,0.0,2623.7417,2637.4,3060.665046918799,884.95483,718.38,908.5128804425858,1701.2795,1382.75,4362.823562451464
