Level,Year,Product,Market_Share_Percent
level_3,2025,RAILS_STD_FREIGHT,3.301807776223633
level_3,2025,RAILS_STD_PASSENGER,1.4150604755244145
level_3,2025,RAILS_HH_HEAVY_HAUL,1.2578315337994797
level_3,2025,RAILS_HH_CRITICAL_INFRA,0.3144578834498699
level_3,2025,SLEEPER_BAR_COAL_WAGON,0.47168682517480476
level_3,2025,SLEEPER_BAR_GENERAL_FREIGHT,0.3144578834498699
level_3,2035,BILLETS_COMM_LOW_CARBON,15.006060628121315
level_3,2035,BILLETS_COMM_MEDIUM_CARBON,10.004040418747545
level_3,2035,BILLETS_SBQ_LEGACY_AUTO,2.842056937144189
level_3,2035,BILLETS_SBQ_MINING,5.6841138742883786
level_3,2035,BILLETS_SBQ_OIL_GAS,2.842056937144189
level_3,2035,BILLETS_DEG_PREMIUM_AUTO,0.8185123978975261
level_3,2035,BILLETS_DEG_PRECISION,0.5456749319316843
level_3,2035,SLABS_STD_HOT_ROLLED,4.7746556544022365
level_3,2035,SLABS_STD_COLD_ROLLED,2.0462809947438156
level_3,2035,SLABS_DEG_AUTOMOTIVE,0.5456749319316843
level_3,2035,SLABS_DEG_APPLIANCE,0.3637832879544562
level_3,2035,UB_GRADE_300,15.804953334983473
level_3,2035,UB_GRADE_300_PLUS,3.9512383337458683
level_3,2035,UC_GRADE_300,10.075657751051965
level_3,2035,UC_GRADE_300_PLUS,1.7780572501856409
level_3,2035,PFC_STANDARD,8.534674800891077
level_3,2035,PFC_HIGH_STRENGTH,0.9482972000990088
level_3,2035,ANGLES_STANDARD,5.689783200594052
level_3,2035,ANGLES_HIGH_STRENGTH,0.6321981333993391
level_3,2035,RAILS_STD_FREIGHT,3.31904020034653
level_3,2035,RAILS_STD_PASSENGER,1.4224458001485127
level_3,2035,RAILS_HH_HEAVY_HAUL,1.2643962667986781
level_3,2035,RAILS_HH_CRITICAL_INFRA,0.31609906669966953
level_3,2035,SLEEPER_BAR_COAL_WAGON,0.4741486000495042
level_3,2035,SLEEPER_BAR_GENERAL_FREIGHT,0.31609906669966953
level_3,2050,BILLETS_COMM_LOW_CARBON,14.823592258050303
level_3,2050,BILLETS_COMM_MEDIUM_CARBON,9.882394838700206
level_3,2050,BILLETS_SBQ_LEGACY_AUTO,2.8074985337216485
level_3,2050,BILLETS_SBQ_MINING,5.614997067443297
level_3,2050,BILLETS_SBQ_OIL_GAS,2.8074985337216485
level_3,2050,BILLETS_DEG_PREMIUM_AUTO,0.8085595777118345
level_3,2050,BILLETS_DEG_PRECISION,0.5390397184745566
level_3,2050,SLABS_STD_HOT_ROLLED,4.716597536652369
level_3,2050,SLABS_STD_COLD_ROLLED,2.0213989442795866
level_3,2050,SLABS_DEG_AUTOMOTIVE,0.5390397184745566
level_3,2050,SLABS_DEG_APPLIANCE,0.35935981231637104
level_3,2050,UB_GRADE_300,15.965224191435833
level_3,2050,UB_GRADE_300_PLUS,3.9913060478589584
level_3,2050,UC_GRADE_300,10.177830422040342
level_3,2050,UC_GRADE_300_PLUS,1.7960877215365305
level_3,2050,PFC_STANDARD,8.621221063375348
level_3,2050,PFC_HIGH_STRENGTH,0.9579134514861498
level_3,2050,ANGLES_STANDARD,5.7474807089169
level_3,2050,ANGLES_HIGH_STRENGTH,0.6386089676574334
level_3,2050,RAILS_STD_FREIGHT,3.352697080201524
level_3,2050,RAILS_STD_PASSENGER,1.4368701772292247
level_3,2050,RAILS_HH_HEAVY_HAUL,1.2772179353148667
level_3,2050,RAILS_HH_CRITICAL_INFRA,0.3193044838287167
level_3,2050,SLEEPER_BAR_COAL_WAGON,0.4789567257430749
level_3,2050,SLEEPER_BAR_GENERAL_FREIGHT,0.3193044838287167
