Year,Production of Iron Ore,Production of Pig Iron,Total Production of Crude Steel,Production of Crude Steel in Electric Furnaces,Production of Crude Steel in Oxygen-blown Converters,Production of Ingots,Production of Continuously-cast Steel,Production of Hot Rolled Products,Production of Hot Rolled Flat Products,Production of Hot Rolled Long Products,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)",Production of Non-metallic Coated Sheet and Strip,Production of Other Metal Coated Sheet and Strip,Production of Wire Rod,Production of Railway Track Material,Total Production of Tubular Products,True Steel Use (finished steel equivalent),Apparent Steel Use (crude steel equivalent),Apparent Steel Use (finished steel products),True Steel Use per Capita (kg finished steel equivalent),Apparent Steel Use per Capita (kg crude steel),Apparent Steel Use per Capita (kg finished steel products),Exports of Iron Ore,Exports of Pig Iron,Exports of Scrap,Exports of Ingots and Semis,Exports of Flat Products,Exports of Long Products,Exports of Semi-finished and Finished Steel Products,Exports of Tubular Products,Imports of Iron Ore,Imports of Pig Iron,Imports of Scrap,Imports of Direct Reduced Iron,Imports of Ingots and Semis,Imports of Flat Products,Imports of Long Products,Imports of Semi-finished and Finished Steel Products,Imports of Tubular Products,Indirect Exports of Steel,Indirect Imports of Steel,Indirect Net Exports of Steel,Population,Urbanisation,GDP_AUD_Real2015,IP_Index_AUD_Real2015?,FX_USD,CPI_Index,Iron_Ore_Production,Coal_Production,Wind_Offshore,Wind_Onshore,Solar_Grid,Solar_Distributed,Production of Iron Ore_XGBoost,Production of Iron Ore_RandomForest,Production of Pig Iron_XGBoost,Production of Pig Iron_RandomForest,Total Production of Crude Steel_XGBoost,Total Production of Crude Steel_RandomForest,Production of Crude Steel in Electric Furnaces_XGBoost,Production of Crude Steel in Electric Furnaces_RandomForest,Production of Crude Steel in Oxygen-blown Converters_XGBoost,Production of Crude Steel in Oxygen-blown Converters_RandomForest,Production of Ingots_XGBoost,Production of Ingots_RandomForest,Production of Continuously-cast Steel_XGBoost,Production of Continuously-cast Steel_RandomForest,Production of Hot Rolled Products_XGBoost,Production of Hot Rolled Products_RandomForest,Production of Hot Rolled Flat Products_XGBoost,Production of Hot Rolled Flat Products_RandomForest,Production of Hot Rolled Long Products_XGBoost,Production of Hot Rolled Long Products_RandomForest,"Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_XGBoost","Production of Hot Rolled Coil, Sheet, and Strip (<3mm)_RandomForest",Production of Non-metallic Coated Sheet and Strip_XGBoost,Production of Non-metallic Coated Sheet and Strip_RandomForest,Production of Other Metal Coated Sheet and Strip_XGBoost,Production of Other Metal Coated Sheet and Strip_RandomForest,Production of Wire Rod_XGBoost,Production of Wire Rod_RandomForest,Production of Railway Track Material_XGBoost,Production of Railway Track Material_RandomForest,Total Production of Tubular Products_XGBoost,Total Production of Tubular Products_RandomForest,True Steel Use (finished steel equivalent)_XGBoost,True Steel Use (finished steel equivalent)_RandomForest,Apparent Steel Use (crude steel equivalent)_XGBoost,Apparent Steel Use (crude steel equivalent)_RandomForest,Apparent Steel Use (finished steel products)_XGBoost,Apparent Steel Use (finished steel products)_RandomForest,True Steel Use per Capita (kg finished steel equivalent)_XGBoost,True Steel Use per Capita (kg finished steel equivalent)_RandomForest,Apparent Steel Use per Capita (kg crude steel)_XGBoost,Apparent Steel Use per Capita (kg crude steel)_RandomForest,Apparent Steel Use per Capita (kg finished steel products)_XGBoost,Apparent Steel Use per Capita (kg finished steel products)_RandomForest,Exports of Iron Ore_XGBoost,Exports of Iron Ore_RandomForest,Exports of Pig Iron_XGBoost,Exports of Pig Iron_RandomForest,Exports of Scrap_XGBoost,Exports of Scrap_RandomForest,Exports of Ingots and Semis_XGBoost,Exports of Ingots and Semis_RandomForest,Exports of Flat Products_XGBoost,Exports of Flat Products_RandomForest,Exports of Long Products_XGBoost,Exports of Long Products_RandomForest,Exports of Semi-finished and Finished Steel Products_XGBoost,Exports of Semi-finished and Finished Steel Products_RandomForest,Exports of Tubular Products_XGBoost,Exports of Tubular Products_RandomForest,Imports of Iron Ore_XGBoost,Imports of Iron Ore_RandomForest,Imports of Pig Iron_XGBoost,Imports of Pig Iron_RandomForest,Imports of Scrap_XGBoost,Imports of Scrap_RandomForest,Imports of Direct Reduced Iron_XGBoost,Imports of Direct Reduced Iron_RandomForest,Imports of Ingots and Semis_XGBoost,Imports of Ingots and Semis_RandomForest,Imports of Flat Products_XGBoost,Imports of Flat Products_RandomForest,Imports of Long Products_XGBoost,Imports of Long Products_RandomForest,Imports of Semi-finished and Finished Steel Products_XGBoost,Imports of Semi-finished and Finished Steel Products_RandomForest,Imports of Tubular Products_XGBoost,Imports of Tubular Products_RandomForest,Indirect Exports of Steel_XGBoost,Indirect Exports of Steel_RandomForest,Indirect Imports of Steel_XGBoost,Indirect Imports of Steel_RandomForest,Indirect Net Exports of Steel_XGBoost,Indirect Net Exports of Steel_RandomForest
2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,904885.02,3436.068115234375,3624.13,5498.919921875,5569.7,1464.773193359375,1423.69,4019.227294921875,4145.81,26.013437271118164,28.82,5505.99658203125,5558.08,4855.3916015625,4973.38,3256.240234375,3188.53,1723.281982421875,1818.8,2616.34716796875,2712.68,885.8994140625,817.37,1722.00048828125,1627.34,578.8414306640625,684.38,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10617.99,7252.2890625,6935.02,6550.16650390625,6255.49,418.201904296875,427.759,271.11614990234375,277.275,245.36471557617188,249.77899999999997,897136.625,861531.03,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,755.5,96.77104187011719,105.54,1090.5338134765625,1022.52,64.75093841552734,60.25,1029.1873779296875,1186.63,15.211894989013672,15.99,51.50244903564453,70.97,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1842.05,419.78594970703125,581.84,431.8915710449219,515.21,5418.9384765625,5470.7,0.0,0.0
2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,902032.82,3436.068115234375,3620.31,5498.919921875,5525.29,1464.773193359375,1423.69,4019.227294921875,4123.63,26.013437271118164,28.82,5505.99658203125,5511.84,4855.3916015625,4973.38,3256.240234375,3165.24,1723.281982421875,1818.8,2616.34716796875,2695.71,885.8994140625,810.16,1722.00048828125,1617.36,578.8414306640625,684.38,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10653.29,7252.2890625,6936.69,6550.16650390625,6257.0,418.201904296875,430.538,271.11614990234375,277.99499999999995,245.36471557617188,250.42899999999997,897136.625,860651.73,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1014.44,64.75093841552734,60.25,1029.1873779296875,1270.93,15.211894989013672,15.9,51.50244903564453,68.78,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1842.05,419.78594970703125,611.8,431.8915710449219,531.74,5418.9384765625,5491.2,0.0,0.0
2036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,902032.82,3436.068115234375,3620.31,5498.919921875,5525.29,1464.773193359375,1423.69,4019.227294921875,4123.63,26.013437271118164,28.82,5505.99658203125,5511.84,4855.3916015625,4973.38,3256.240234375,3165.24,1723.281982421875,1818.8,2616.34716796875,2695.71,885.8994140625,810.16,1722.00048828125,1617.36,578.8414306640625,684.38,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10653.29,7252.2890625,6936.69,6550.16650390625,6257.0,418.201904296875,430.538,271.11614990234375,277.99499999999995,245.36471557617188,250.42899999999997,897136.625,860651.73,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1014.44,64.75093841552734,60.25,1029.1873779296875,1270.93,15.211894989013672,15.9,51.50244903564453,68.78,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1842.05,419.78594970703125,611.8,431.8915710449219,531.74,5418.9384765625,5491.2,0.0,0.0
2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,902032.82,3436.068115234375,3620.31,5498.919921875,5525.29,1464.773193359375,1423.69,4019.227294921875,4123.63,26.013437271118164,28.82,5505.99658203125,5511.84,4855.3916015625,4973.38,3256.240234375,3165.24,1723.281982421875,1818.8,2616.34716796875,2695.71,885.8994140625,810.16,1722.00048828125,1617.36,578.8414306640625,684.38,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10653.29,7252.2890625,6936.69,6550.16650390625,6257.0,418.201904296875,430.538,271.11614990234375,277.99499999999995,245.36471557617188,250.42899999999997,897136.625,860651.73,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1014.44,64.75093841552734,60.25,1029.1873779296875,1270.93,15.211894989013672,15.9,51.50244903564453,68.78,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1842.05,419.78594970703125,611.8,431.8915710449219,531.74,5418.9384765625,5491.2,0.0,0.0
2038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,902032.82,3436.068115234375,3620.31,5498.919921875,5525.29,1464.773193359375,1423.69,4019.227294921875,4123.63,26.013437271118164,28.82,5505.99658203125,5511.84,4855.3916015625,4973.38,3256.240234375,3165.24,1723.281982421875,1818.8,2616.34716796875,2695.71,885.8994140625,810.16,1722.00048828125,1617.36,578.8414306640625,684.38,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10653.29,7252.2890625,6936.69,6550.16650390625,6257.0,418.201904296875,430.538,271.11614990234375,277.99499999999995,245.36471557617188,250.42899999999997,897136.625,860651.73,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1014.44,64.75093841552734,60.25,1029.1873779296875,1270.93,15.211894989013672,15.9,51.50244903564453,68.78,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1842.05,419.78594970703125,611.8,431.8915710449219,531.74,5418.9384765625,5491.2,0.0,0.0
2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,902032.82,3436.068115234375,3620.31,5498.919921875,5525.29,1464.773193359375,1423.69,4019.227294921875,4123.63,26.013437271118164,28.82,5505.99658203125,5511.84,4855.3916015625,4973.38,3256.240234375,3165.24,1723.281982421875,1818.8,2616.34716796875,2695.71,885.8994140625,810.16,1722.00048828125,1617.36,578.8414306640625,684.38,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10653.29,7252.2890625,6936.69,6550.16650390625,6257.0,418.201904296875,430.538,271.11614990234375,277.99499999999995,245.36471557617188,250.42899999999997,897136.625,860651.73,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1014.44,64.75093841552734,60.25,1029.1873779296875,1270.93,15.211894989013672,15.9,51.50244903564453,68.78,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1842.05,419.78594970703125,611.8,431.8915710449219,531.74,5418.9384765625,5491.2,0.0,0.0
2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,902032.82,3436.068115234375,3620.31,5498.919921875,5525.29,1464.773193359375,1423.69,4019.227294921875,4123.63,26.013437271118164,28.82,5505.99658203125,5511.84,4855.3916015625,4973.38,3256.240234375,3165.24,1723.281982421875,1818.8,2616.34716796875,2695.71,885.8994140625,810.16,1722.00048828125,1617.36,578.8414306640625,684.38,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10653.29,7252.2890625,6936.69,6550.16650390625,6257.0,418.201904296875,430.538,271.11614990234375,277.99499999999995,245.36471557617188,250.42899999999997,897136.625,860651.73,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1014.44,64.75093841552734,60.25,1029.1873779296875,1270.93,15.211894989013672,15.9,51.50244903564453,68.78,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1842.05,419.78594970703125,611.8,431.8915710449219,531.74,5418.9384765625,5491.2,0.0,0.0
2041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,902032.82,3436.068115234375,3620.31,5498.919921875,5525.29,1464.773193359375,1423.69,4019.227294921875,4123.63,26.013437271118164,28.82,5505.99658203125,5511.84,4855.3916015625,4973.38,3256.240234375,3165.24,1723.281982421875,1818.8,2616.34716796875,2695.71,885.8994140625,810.16,1722.00048828125,1617.36,578.8414306640625,684.38,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10653.29,7252.2890625,6936.69,6550.16650390625,6257.0,418.201904296875,430.538,271.11614990234375,277.99499999999995,245.36471557617188,250.42899999999997,897136.625,860651.73,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1014.44,64.75093841552734,60.25,1029.1873779296875,1270.93,15.211894989013672,15.9,51.50244903564453,68.78,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1842.05,419.78594970703125,611.8,431.8915710449219,531.74,5418.9384765625,5491.2,0.0,0.0
2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,902032.82,3436.068115234375,3620.31,5498.919921875,5525.29,1464.773193359375,1423.69,4019.227294921875,4123.63,26.013437271118164,28.82,5505.99658203125,5511.84,4855.3916015625,4973.38,3256.240234375,3165.24,1723.281982421875,1818.8,2616.34716796875,2695.71,885.8994140625,810.16,1722.00048828125,1617.36,578.8414306640625,684.38,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10653.29,7252.2890625,6936.69,6550.16650390625,6257.0,418.201904296875,430.538,271.11614990234375,277.99499999999995,245.36471557617188,250.42899999999997,897136.625,860651.73,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1014.44,64.75093841552734,60.25,1029.1873779296875,1270.93,15.211894989013672,15.9,51.50244903564453,68.78,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1842.05,419.78594970703125,611.8,431.8915710449219,531.74,5418.9384765625,5491.2,0.0,0.0
2043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,902032.82,3436.068115234375,3620.31,5498.919921875,5525.29,1464.773193359375,1423.69,4019.227294921875,4123.63,26.013437271118164,28.82,5505.99658203125,5511.84,4855.3916015625,4973.38,3256.240234375,3165.24,1723.281982421875,1818.8,2616.34716796875,2695.71,885.8994140625,810.16,1722.00048828125,1617.36,578.8414306640625,684.38,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10653.29,7252.2890625,6936.69,6550.16650390625,6257.0,418.201904296875,430.538,271.11614990234375,277.99499999999995,245.36471557617188,250.42899999999997,897136.625,860651.73,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1014.44,64.75093841552734,60.25,1029.1873779296875,1270.93,15.211894989013672,15.9,51.50244903564453,68.78,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1842.05,419.78594970703125,611.8,431.8915710449219,531.74,5418.9384765625,5491.2,0.0,0.0
2044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,900125.46,3436.068115234375,3620.31,5498.919921875,5511.37,1464.773193359375,1417.13,4019.227294921875,4115.92,26.013437271118164,28.76,5505.99658203125,5504.63,4855.3916015625,4938.8,3256.240234375,3163.34,1723.281982421875,1815.64,2616.34716796875,2695.71,885.8994140625,802.98,1722.00048828125,1608.66,578.8414306640625,682.31,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10688.45,7252.2890625,6943.26,6550.16650390625,6262.93,418.201904296875,433.478,271.11614990234375,279.65299999999996,245.36471557617188,251.93399999999997,897136.625,857793.55,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1015.09,64.75093841552734,60.25,1029.1873779296875,1361.34,15.211894989013672,15.92,51.50244903564453,66.5,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1852.38,419.78594970703125,662.67,431.8915710449219,531.74,5418.9384765625,5495.8,0.0,0.0
2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,900125.46,3436.068115234375,3620.31,5498.919921875,5511.37,1464.773193359375,1417.13,4019.227294921875,4115.92,26.013437271118164,28.76,5505.99658203125,5504.63,4855.3916015625,4938.8,3256.240234375,3163.34,1723.281982421875,1815.64,2616.34716796875,2695.71,885.8994140625,802.98,1722.00048828125,1608.66,578.8414306640625,682.31,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10688.45,7252.2890625,6943.26,6550.16650390625,6262.93,418.201904296875,433.478,271.11614990234375,279.65299999999996,245.36471557617188,251.93399999999997,897136.625,857793.55,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1015.09,64.75093841552734,60.25,1029.1873779296875,1361.34,15.211894989013672,15.92,51.50244903564453,66.5,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1852.38,419.78594970703125,662.67,431.8915710449219,531.74,5418.9384765625,5495.8,0.0,0.0
2046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,900125.46,3436.068115234375,3620.31,5498.919921875,5511.37,1464.773193359375,1417.13,4019.227294921875,4115.92,26.013437271118164,28.76,5505.99658203125,5504.63,4855.3916015625,4938.8,3256.240234375,3163.34,1723.281982421875,1815.64,2616.34716796875,2695.71,885.8994140625,802.98,1722.00048828125,1608.66,578.8414306640625,682.31,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10688.45,7252.2890625,6943.26,6550.16650390625,6262.93,418.201904296875,433.478,271.11614990234375,279.65299999999996,245.36471557617188,251.93399999999997,897136.625,857793.55,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1015.09,64.75093841552734,60.25,1029.1873779296875,1361.34,15.211894989013672,15.92,51.50244903564453,66.5,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1852.38,419.78594970703125,662.67,431.8915710449219,531.74,5418.9384765625,5495.8,0.0,0.0
2047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,900125.46,3436.068115234375,3620.31,5498.919921875,5511.37,1464.773193359375,1417.13,4019.227294921875,4115.92,26.013437271118164,28.76,5505.99658203125,5504.63,4855.3916015625,4938.8,3256.240234375,3163.34,1723.281982421875,1815.64,2616.34716796875,2695.71,885.8994140625,802.98,1722.00048828125,1608.66,578.8414306640625,682.31,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10688.45,7252.2890625,6943.26,6550.16650390625,6262.93,418.201904296875,433.478,271.11614990234375,279.65299999999996,245.36471557617188,251.93399999999997,897136.625,857793.55,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1015.09,64.75093841552734,60.25,1029.1873779296875,1361.34,15.211894989013672,15.92,51.50244903564453,66.5,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1852.38,419.78594970703125,662.67,431.8915710449219,531.74,5418.9384765625,5495.8,0.0,0.0
2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,900125.46,3436.068115234375,3620.31,5498.919921875,5511.37,1464.773193359375,1417.13,4019.227294921875,4115.92,26.013437271118164,28.76,5505.99658203125,5504.63,4855.3916015625,4938.8,3256.240234375,3163.34,1723.281982421875,1815.64,2616.34716796875,2695.71,885.8994140625,802.98,1722.00048828125,1608.66,578.8414306640625,682.31,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10688.45,7252.2890625,6943.26,6550.16650390625,6262.93,418.201904296875,433.478,271.11614990234375,279.65299999999996,245.36471557617188,251.93399999999997,897136.625,857793.55,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1015.09,64.75093841552734,60.25,1029.1873779296875,1361.34,15.211894989013672,15.92,51.50244903564453,66.5,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1852.38,419.78594970703125,662.67,431.8915710449219,531.74,5418.9384765625,5495.8,0.0,0.0
2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,900125.46,3436.068115234375,3620.31,5498.919921875,5511.37,1464.773193359375,1417.13,4019.227294921875,4115.92,26.013437271118164,28.76,5505.99658203125,5504.63,4855.3916015625,4938.8,3256.240234375,3163.34,1723.281982421875,1815.64,2616.34716796875,2695.71,885.8994140625,802.98,1722.00048828125,1608.66,578.8414306640625,682.31,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10688.45,7252.2890625,6943.26,6550.16650390625,6262.93,418.201904296875,433.478,271.11614990234375,279.65299999999996,245.36471557617188,251.93399999999997,897136.625,857793.55,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1015.09,64.75093841552734,60.25,1029.1873779296875,1361.34,15.211894989013672,15.92,51.50244903564453,66.5,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1852.38,419.78594970703125,662.67,431.8915710449219,531.74,5418.9384765625,5495.8,0.0,0.0
2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951851.5,900125.46,3436.068115234375,3620.31,5498.919921875,5511.37,1464.773193359375,1417.13,4019.227294921875,4115.92,26.013437271118164,28.76,5505.99658203125,5504.63,4855.3916015625,4938.8,3256.240234375,3163.34,1723.281982421875,1815.64,2616.34716796875,2695.71,885.8994140625,802.98,1722.00048828125,1608.66,578.8414306640625,682.31,80.23536682128906,96.99,155.0123291015625,160.48,10570.9091796875,10688.45,7252.2890625,6943.26,6550.16650390625,6262.93,418.201904296875,433.478,271.11614990234375,279.65299999999996,245.36471557617188,251.93399999999997,897136.625,857793.55,5.563446848100284e-06,0.07,2068.223388671875,1902.38,132.1150360107422,93.57,858.7946166992188,744.58,96.77104187011719,105.54,1090.5338134765625,1015.09,64.75093841552734,60.25,1029.1873779296875,1361.34,15.211894989013672,15.92,51.50244903564453,66.5,0.00044822346535511315,0.39,67.008544921875,99.2,357.61981201171875,521.11,390.0557861328125,645.91,2045.5318603515625,1852.38,419.78594970703125,662.67,431.8915710449219,531.74,5418.9384765625,5495.8,0.0,0.0
