forecast_type,product_category,level,avg_annual_demand_kt,total_2025_2050_mt,growth_rate_cagr
hierarchical_model,SEMI_FINISHED,level_1,1768.4321886710648,47.74766909411875,-0.05136148086301029
hierarchical_model,FINISHED_FLAT,level_1,1544.8327330756943,41.71048379304374,0.22246903801106388
hierarchical_model,FINISHED_LONG,level_1,3044.5438172011577,82.20268306443126,0.06413422298297
hierarchical_model,TUBE_PIPE,level_1,711.9275747094907,19.22204451715625,0.0040948584215216854
hierarchical_model,BILLETS_COMMERCIAL,level_2,972.6377037690859,26.261218001765318,-0.05136148086301029
hierarchical_model,BILLETS_SBQ,level_2,442.1080471677662,11.936917273529687,-0.05136148086301029
hierarchical_model,SLABS_STANDARD,level_2,265.26482830065976,7.162150364117815,-0.05136148086301029
hierarchical_model,BILLETS_DEGASSED,level_2,53.052965660131946,1.4324300728235626,-0.05136148086301029
hierarchical_model,SLABS_DEGASSED,level_2,35.368643773421304,0.9549533818823752,-0.05136148086301029
hierarchical_model,STRUCTURAL_BEAMS,level_2,761.1359543002894,20.550670766107814,0.06413422298297
hierarchical_model,REBAR,level_2,761.1359543002894,20.550670766107814,0.06413422298297
hierarchical_model,STRUCTURAL_COLUMNS,level_2,456.6815725801737,12.330402459664688,0.06413422298297
hierarchical_model,STRUCTURAL_CHANNELS,level_2,365.345258064139,9.864321967731753,0.06413422298297
hierarchical_model,RAILS_STANDARD,level_2,182.6726290320695,4.932160983865876,0.06413422298297
hierarchical_model,OTHER_LONG_PRODUCTS,level_2,517.5724489241968,13.974456120953313,0.06413422298297
hierarchical_model,HOT_ROLLED_COIL,level_2,617.9330932302778,16.6841935172175,0.22246903801106388
hierarchical_model,COLD_ROLLED_COIL,level_2,386.20818326892356,10.427620948260936,0.22246903801106388
hierarchical_model,PLATE,level_2,308.9665466151389,8.34209675860875,0.22246903801106388
hierarchical_model,GALVANIZED,level_2,231.72490996135417,6.256572568956562,0.22246903801106388
hierarchical_model,WELDED_STRUCTURAL,level_2,213.57827241284727,5.766613355146877,0.0040948584215216854
hierarchical_model,SEAMLESS_LINE_PIPE,level_2,177.98189367737268,4.805511129289062,0.0040948584215216854
hierarchical_model,WELDED_LINE_PIPE,level_2,142.38551494189818,3.8444089034312507,0.0040948584215216854
hierarchical_model,OTHER_TUBE_PIPE,level_2,177.98189367737268,4.805511129289062,0.0040948584215216854
hierarchical_model,BILLETS_COMM_LOW_CARBON,level_3,583.5826222614515,15.756730801059192,-0.05136148086301029
hierarchical_model,BILLETS_COMM_MEDIUM_CARBON,level_3,389.0550815076344,10.504487200706128,-0.05136148086301029
hierarchical_model,BILLETS_SBQ_LEGACY_AUTO,level_3,198.94862122549478,5.371612773088359,-0.05136148086301029
hierarchical_model,BILLETS_SBQ_MINING,level_3,154.7378165087182,4.177921045735391,-0.05136148086301029
hierarchical_model,BILLETS_SBQ_OIL_GAS,level_3,88.42160943355327,2.387383454705938,-0.05136148086301029
hierarchical_model,UB_GRADE_300,level_3,608.9087634402315,16.440536612886252,0.06413422298297
hierarchical_model,UB_GRADE_300_PLUS,level_3,152.22719086005787,4.110134153221563,0.06413422298297
hierarchical_model,UC_GRADE_300,level_3,388.1793366931475,10.480842090714983,0.06413422298297
hierarchical_model,UC_GRADE_300_PLUS,level_3,68.50223588702606,1.8495603689497035,0.06413422298297
hierarchical_model,RAILS_STD_FREIGHT,level_3,127.8708403224486,3.452512688706112,0.06413422298297
hierarchical_model,RAILS_STD_PASSENGER,level_3,54.801788709620844,1.4796482951597627,0.06413422298297
