Year,BILLETS_COMM_LOW_CARBON,BILLETS_COMM_MEDIUM_CARBON,BILLETS_SBQ_LEGACY_AUTO,BILLETS_SBQ_MINING,BILLETS_SBQ_OIL_GAS,BILLETS_DEG_PREMIUM_AUTO,BILLETS_DEG_PRECISION,SLABS_STD_HOT_ROLLED,SLABS_STD_COLD_ROLLED,SLABS_DEG_AUTOMOTIVE,SLABS_DEG_APPLIANCE,UB_GRADE_300,UB_GRADE_300_PLUS,UC_GRADE_300,UC_GRADE_300_PLUS,PFC_STANDARD,PFC_HIGH_STRENGTH,ANGLES_STANDARD,ANGLES_HIGH_STRENGTH,RAILS_STD_FREIGHT,RAILS_STD_PASSENGER,RAILS_HH_HEAVY_HAUL,RAILS_HH_CRITICAL_INFRA,SLEEPER_BAR_COAL_WAGON,SLEEPER_BAR_GENERAL_FREIGHT
2024,497.9425782375,331.96171882500005,103.73803713281251,207.47607426562502,103.73803713281251,29.87655469425,19.9177031295,232.37320317750002,99.58851564750002,19.9177031295,13.278468753000002,558.9978270281249,139.74945675703123,356.3611147304296,62.88725554066405,0.0,0.0,0.0,0.0,156.51939156787498,67.07973924337499,0.0,0.0,0.0,0.0
2025,496.7183442375,331.14556282500007,103.48298838281251,206.96597676562502,103.48298838281251,29.80310065425,19.8687337695,231.80189397750004,99.34366884750001,19.8687337695,13.245822513000002,557.6234835281251,139.40587088203128,355.4849707491797,62.73264189691406,0.0,0.0,0.0,0.0,156.134575387875,66.914818023375,0.0,0.0,0.0,0.0
2026,497.9582598375,331.972173225,103.7413041328125,207.482608265625,103.7413041328125,29.87749559025,19.9183303935,232.3805212575,99.5916519675,19.9183303935,13.278886929000002,559.015431428125,139.75385785703125,356.37233753542966,62.889236035664055,0.0,0.0,0.0,0.0,156.524320799875,67.081851771375,0.0,0.0,0.0,0.0
2027,497.9582598375,331.972173225,103.7413041328125,207.482608265625,103.7413041328125,29.87749559025,19.9183303935,232.3805212575,99.5916519675,19.9183303935,13.278886929000002,559.015431428125,139.75385785703125,356.37233753542966,62.889236035664055,0.0,0.0,0.0,0.0,156.524320799875,67.081851771375,0.0,0.0,0.0,0.0
2028,500.32047903750004,333.546986025,104.23343313281251,208.46686626562501,104.23343313281251,30.01922874225,20.012819161500005,233.4828902175,100.06409580750001,20.0128191615,13.341879441000001,561.6672942281251,140.41682355703128,358.0629000704297,63.18757060066406,0.0,0.0,0.0,0.0,157.266842383875,67.400075307375,0.0,0.0,0.0,0.0
2029,499.85502063750005,333.23668042500003,104.13646263281251,208.27292526562502,104.13646263281251,29.991301238250003,19.994200825500002,233.2656762975,99.97100412750001,19.994200825500002,13.329467217000001,561.144763628125,140.28619090703125,357.7297868129297,63.12878590816406,0.0,0.0,0.0,0.0,157.120533815875,67.337371635375,0.0,0.0,0.0,0.0
2030,499.63440903750006,333.0896060250001,104.09050188281252,208.18100376562504,104.09050188281252,29.978064542250003,19.985376361500002,233.16272421750003,99.92688180750002,19.985376361500006,13.323584241000004,560.897101728125,140.22427543203125,357.5719023516797,63.10092394441406,0.0,0.0,0.0,0.0,157.051188483875,67.307652207375,0.0,0.0,0.0,0.0
2031,499.78318995984375,333.1887933065625,104.12149790830078,208.24299581660156,104.12149790830078,29.98699139759062,19.991327598393752,233.23215531459374,99.95663799196875,19.99132759839375,13.327551732262501,567.19145036625,141.7978625915625,361.5845496084843,63.80903816620311,0.0,0.0,0.0,0.0,158.81360610254998,68.06297404394999,0.0,0.0,0.0,0.0
2032,499.9885313048437,333.32568753656255,104.16427735517578,208.32855471035157,104.16427735517578,29.999311878290627,19.99954125219375,233.32798127559377,99.99770626096877,19.99954125219375,13.333027501462503,567.42448712625,141.8561217815625,361.7331105429844,63.83525480170312,0.0,0.0,0.0,0.0,158.87885639535,68.09093845515,0.0,0.0,0.0,0.0
2033,499.7571260498437,333.17141736656254,104.11606792705078,208.23213585410156,104.11606792705078,29.985427562990623,19.99028504199375,233.21999215659375,99.95142520996876,19.990285041993747,13.3268566946625,567.1618710862499,141.79046777156248,361.5656928174843,63.80571049720311,0.0,0.0,0.0,0.0,158.80532390414996,68.05942453034999,0.0,0.0,0.0,0.0
2034,499.69830614484374,333.13220409656253,104.10381378017578,208.20762756035157,104.10381378017578,29.981898368690622,19.98793224579375,233.19254286759374,99.93966122896876,19.98793224579375,13.325288163862503,567.0951178462501,141.77377946156253,361.5231376269844,63.798200757703135,0.0,0.0,0.0,0.0,158.78663299695003,68.05141414155001,0.0,0.0,0.0,0.0
2035,499.7571260498437,333.17141736656254,104.11606792705078,208.23213585410156,104.11606792705078,29.985427562990623,19.99028504199375,233.21999215659375,99.95142520996876,19.990285041993747,13.3268566946625,567.1618710862499,141.79046777156248,361.5656928174843,63.80571049720311,0.0,0.0,0.0,0.0,158.80532390414996,68.05942453034999,0.0,0.0,0.0,0.0
2036,499.7571260498437,333.17141736656254,104.11606792705078,208.23213585410156,104.11606792705078,29.985427562990623,19.99028504199375,233.21999215659375,99.95142520996876,19.990285041993747,13.3268566946625,567.1618710862499,141.79046777156248,361.5656928174843,63.80571049720311,0.0,0.0,0.0,0.0,158.80532390414996,68.05942453034999,0.0,0.0,0.0,0.0
2037,499.7571260498437,333.17141736656254,104.11606792705078,208.23213585410156,104.11606792705078,29.985427562990623,19.99028504199375,233.21999215659375,99.95142520996876,19.990285041993747,13.3268566946625,567.1618710862499,141.79046777156248,361.5656928174843,63.80571049720311,0.0,0.0,0.0,0.0,158.80532390414996,68.05942453034999,0.0,0.0,0.0,0.0
2038,499.7571260498437,333.17141736656254,104.11606792705078,208.23213585410156,104.11606792705078,29.985427562990623,19.99028504199375,233.21999215659375,99.95142520996876,19.990285041993747,13.3268566946625,567.1618710862499,141.79046777156248,361.5656928174843,63.80571049720311,0.0,0.0,0.0,0.0,158.80532390414996,68.05942453034999,0.0,0.0,0.0,0.0
2039,499.7571260498437,333.17141736656254,104.11606792705078,208.23213585410156,104.11606792705078,29.985427562990623,19.99028504199375,233.21999215659375,99.95142520996876,19.990285041993747,13.3268566946625,567.1618710862499,141.79046777156248,361.5656928174843,63.80571049720311,0.0,0.0,0.0,0.0,158.80532390414996,68.05942453034999,0.0,0.0,0.0,0.0
2040,499.7571260498437,333.17141736656254,104.11606792705078,208.23213585410156,104.11606792705078,29.985427562990623,19.99028504199375,233.21999215659375,99.95142520996876,19.990285041993747,13.3268566946625,567.1618710862499,141.79046777156248,361.5656928174843,63.80571049720311,0.0,0.0,0.0,0.0,158.80532390414996,68.05942453034999,0.0,0.0,0.0,0.0
2041,492.1802112304687,328.1201408203125,102.53754400634764,205.0750880126953,102.53754400634764,29.53081267382812,19.687208449218748,229.68409857421872,98.43604224609375,19.687208449218748,13.1248056328125,566.3530992796874,141.58827481992185,361.0501007908007,63.71472366896482,0.0,0.0,0.0,0.0,158.57886779831247,67.96237191356249,0.0,0.0,0.0,0.0
2042,492.1802112304687,328.1201408203125,102.53754400634764,205.0750880126953,102.53754400634764,29.53081267382812,19.687208449218748,229.68409857421872,98.43604224609375,19.687208449218748,13.1248056328125,566.3530992796874,141.58827481992185,361.0501007908007,63.71472366896482,0.0,0.0,0.0,0.0,158.57886779831247,67.96237191356249,0.0,0.0,0.0,0.0
2043,492.1802112304687,328.1201408203125,102.53754400634764,205.0750880126953,102.53754400634764,29.53081267382812,19.687208449218748,229.68409857421872,98.43604224609375,19.687208449218748,13.1248056328125,566.3530992796874,141.58827481992185,361.0501007908007,63.71472366896482,0.0,0.0,0.0,0.0,158.57886779831247,67.96237191356249,0.0,0.0,0.0,0.0
2044,492.4081081054687,328.27207207031256,102.58502252197266,205.17004504394532,102.58502252197266,29.544486486328125,19.69632432421875,229.79045044921878,98.48162162109377,19.69632432421875,13.1308828828125,566.6153408296875,141.65383520742188,361.21727977892573,63.744225843339834,0.0,0.0,0.0,0.0,158.65229543231248,67.9938408995625,0.0,0.0,0.0,0.0
2045,492.4081081054687,328.27207207031256,102.58502252197266,205.17004504394532,102.58502252197266,29.544486486328125,19.69632432421875,229.79045044921878,98.48162162109377,19.69632432421875,13.1308828828125,566.6153408296875,141.65383520742188,361.21727977892573,63.744225843339834,0.0,0.0,0.0,0.0,158.65229543231248,67.9938408995625,0.0,0.0,0.0,0.0
2046,492.4081081054687,328.27207207031256,102.58502252197266,205.17004504394532,102.58502252197266,29.544486486328125,19.69632432421875,229.79045044921878,98.48162162109377,19.69632432421875,13.1308828828125,566.6153408296875,141.65383520742188,361.21727977892573,63.744225843339834,0.0,0.0,0.0,0.0,158.65229543231248,67.9938408995625,0.0,0.0,0.0,0.0
2047,492.4081081054687,328.27207207031256,102.58502252197266,205.17004504394532,102.58502252197266,29.544486486328125,19.69632432421875,229.79045044921878,98.48162162109377,19.69632432421875,13.1308828828125,566.6153408296875,141.65383520742188,361.21727977892573,63.744225843339834,0.0,0.0,0.0,0.0,158.65229543231248,67.9938408995625,0.0,0.0,0.0,0.0
2048,492.4081081054687,328.27207207031256,102.58502252197266,205.17004504394532,102.58502252197266,29.544486486328125,19.69632432421875,229.79045044921878,98.48162162109377,19.69632432421875,13.1308828828125,566.6153408296875,141.65383520742188,361.21727977892573,63.744225843339834,0.0,0.0,0.0,0.0,158.65229543231248,67.9938408995625,0.0,0.0,0.0,0.0
2049,492.4081081054687,328.27207207031256,102.58502252197266,205.17004504394532,102.58502252197266,29.544486486328125,19.69632432421875,229.79045044921878,98.48162162109377,19.69632432421875,13.1308828828125,566.6153408296875,141.65383520742188,361.21727977892573,63.744225843339834,0.0,0.0,0.0,0.0,158.65229543231248,67.9938408995625,0.0,0.0,0.0,0.0
2050,492.4081081054687,328.27207207031256,102.58502252197266,205.17004504394532,102.58502252197266,29.544486486328125,19.69632432421875,229.79045044921878,98.48162162109377,19.69632432421875,13.1308828828125,566.6153408296875,141.65383520742188,361.21727977892573,63.744225843339834,0.0,0.0,0.0,0.0,158.65229543231248,67.9938408995625,0.0,0.0,0.0,0.0
