forecast_type,product_category,level,avg_annual_demand_kt,total_2025_2050_mt,growth_rate_cagr
hierarchical_model,SEMI_FINISHED,level_1,1655.7474877840282,44.70518217016876,-0.04469762745714645
hierarchical_model,FINISHED_FLAT,level_1,1793.7453111120371,48.431123400025,0.20672083133075336
hierarchical_model,FINISHED_LONG,level_1,2825.1059573307866,76.27786084793124,0.054154963982622206
hierarchical_model,TUBE_PIPE,level_1,795.1375574305557,21.468714050625003,0.001439582891449298
hierarchical_model,BILLETS_COMMERCIAL,level_2,827.8737438920141,22.35259108508438,-0.04469762745714645
hierarchical_model,BILLETS_SBQ,level_2,413.93687194600705,11.17629554254219,-0.04469762745714645
hierarchical_model,SLABS_STANDARD,level_2,331.1494975568056,8.941036434033752,-0.04469762745714645
hierarchical_model,BILLETS_DEGASSED,level_2,49.67242463352084,1.3411554651050626,-0.04469762745714645
hierarchical_model,SLABS_DEGASSED,level_2,33.114949755680556,0.894103643403375,-0.04469762745714645
hierarchical_model,REBAR,level_2,847.5317871992359,22.883358254379367,0.054154963982622206
hierarchical_model,STRUCTURAL_BEAMS,level_2,706.2764893326967,19.06946521198281,0.054154963982622206
hierarchical_model,STRUCTURAL_COLUMNS,level_2,423.7658935996179,11.441679127189683,0.054154963982622206
hierarchical_model,RAILS_STANDARD,level_2,226.00847658646296,6.1022288678345005,0.054154963982622206
hierarchical_model,OTHER_LONG_PRODUCTS,level_2,621.523310612773,16.781129386544873,0.054154963982622206
hierarchical_model,HOT_ROLLED_COIL,level_2,717.4981244448148,19.37244936001,0.20672083133075336
hierarchical_model,COLD_ROLLED_COIL,level_2,448.4363277780093,12.10778085000625,0.20672083133075336
hierarchical_model,PLATE,level_2,358.7490622224074,9.686224680005,0.20672083133075336
hierarchical_model,GALVANIZED,level_2,269.06179666680555,7.26466851000375,0.20672083133075336
hierarchical_model,WELDED_STRUCTURAL,level_2,238.5412672291667,6.440614215187501,0.001439582891449298
hierarchical_model,SEAMLESS_LINE_PIPE,level_2,198.78438935763893,5.367178512656251,0.001439582891449298
hierarchical_model,WELDED_LINE_PIPE,level_2,159.02751148611114,4.293742810125001,0.001439582891449298
hierarchical_model,OTHER_TUBE_PIPE,level_2,198.78438935763893,5.367178512656251,0.001439582891449298
hierarchical_model,BILLETS_COMM_LOW_CARBON,level_3,496.7242463352083,13.411554651050624,-0.04469762745714645
hierarchical_model,BILLETS_COMM_MEDIUM_CARBON,level_3,331.1494975568056,8.941036434033752,-0.04469762745714645
hierarchical_model,BILLETS_SBQ_LEGACY_AUTO,level_3,103.48421798650176,2.7940738856355476,-0.04469762745714645
hierarchical_model,BILLETS_SBQ_MINING,level_3,206.96843597300352,5.588147771271095,-0.04469762745714645
hierarchical_model,BILLETS_SBQ_OIL_GAS,level_3,103.48421798650176,2.7940738856355476,-0.04469762745714645
hierarchical_model,BILLETS_DEG_PREMIUM_AUTO,level_3,29.803454780112492,0.8046932790630372,-0.04469762745714645
hierarchical_model,BILLETS_DEG_PRECISION,level_3,19.868969853408334,0.536462186042025,-0.04469762745714645
hierarchical_model,SLABS_STD_HOT_ROLLED,level_3,231.80464828976395,6.2587255038236265,-0.04469762745714645
hierarchical_model,SLABS_STD_COLD_ROLLED,level_3,99.3448492670417,2.6823109302101256,-0.04469762745714645
hierarchical_model,SLABS_DEG_AUTOMOTIVE,level_3,19.86896985340833,0.5364621860420249,-0.04469762745714645
hierarchical_model,SLABS_DEG_APPLIANCE,level_3,13.245979902272222,0.35764145736135,-0.04469762745714645
hierarchical_model,UB_GRADE_300,level_3,565.0211914661572,15.255572169586246,0.054154963982622206
hierarchical_model,UB_GRADE_300_PLUS,level_3,141.2552978665393,3.8138930423965616,0.054154963982622206
hierarchical_model,UC_GRADE_300,level_3,360.2010095596754,9.725427258111237,0.054154963982622206
hierarchical_model,UC_GRADE_300_PLUS,level_3,63.56488403994269,1.7162518690784527,0.054154963982622206
hierarchical_model,PFC_STANDARD,level_3,0.0,0.0,0.0
hierarchical_model,PFC_HIGH_STRENGTH,level_3,0.0,0.0,0.0
hierarchical_model,ANGLES_STANDARD,level_3,0.0,0.0,0.0
hierarchical_model,ANGLES_HIGH_STRENGTH,level_3,0.0,0.0,0.0
hierarchical_model,RAILS_STD_FREIGHT,level_3,158.20593361052408,4.27156020748415,0.054154963982622206
hierarchical_model,RAILS_STD_PASSENGER,level_3,67.80254297593888,1.8306686603503497,0.054154963982622206
hierarchical_model,RAILS_HH_HEAVY_HAUL,level_3,0.0,0.0,0.0
hierarchical_model,RAILS_HH_CRITICAL_INFRA,level_3,0.0,0.0,0.0
hierarchical_model,SLEEPER_BAR_COAL_WAGON,level_3,0.0,0.0,0.0
hierarchical_model,SLEEPER_BAR_GENERAL_FREIGHT,level_3,0.0,0.0,0.0
